region,gender,age,education,race,uscitizen,maritalstatus,religion,religionattend,partyid,income,politics,hhsize,employstatus,extraversion,pextraversion,agreeableness,pagreeableness,conscientiousness,pconscientiousness,openness,popenness,neuroticism,pneuroticism,needforcognition,pneedforcognition,agency,pagency,communion,pcommunion,minimalism,pminimalism,bes,pbes,green,pgreen,crt2,pcrt2,fluid,pfluid,crystallized,pcrystallized,syllogism,psyllogism,actual,pactual,overconfidence,poverconfidence,overplacement,poverplacement,ultimatum_sender,pultimatum_sender,ultimatum_accepted,pultimatum_accepted,mentalaccounting,pmentalaccounting,socialdesirability,psocialdesirability,conscientiousness_w2,pconscientiousness_w2,anxiety,panxiety,hi,phi,hc,phc,vi,pvi,vc,pvc,finliteracy,pfinliteracy,numeracy,pnumeracy,deductive,pdeductive,forwardflow,pforwardflow,discount,pdiscount,presentbias,ppresentbias,riskaversion,priskaversion,lossaversion,plossaversion,trustgame_sender,ptrustgame_sender,trustgame_receiver,ptrustgame_receiver,rfs,prfs,sttw,psttw,depression,pdepression,cnfu,pcnfu,selfmonitor,pselfmonitor,scc,pscc,needforclosure,pneedforclosure,maximization,pmaximization,wason,pwason,dictator_sender,pdictator_sender
Northeast,Female,30-49,"Some college, no degree",White,Yes,Married,Roman Catholic,A few times a year,Democrat,"$100,000 or more",Liberal,4,Part-time employment,5,100,4.889,95,4.889,92,4.3,78,2.5,47,3.833,69,5.583,71,7.167,56,3.75,64,4.7,95,4.167,74,3,88,1,55,3,17,5,32,12,23,13,56,-4,23,40,65,83.333,70,100,100,5,48,7,53,6,47,4.75,82,5,100,2.75,55,4.5,84,5,57,7,80,4,100,0.782,20,0,40,0.017,58,-0.2,8,2.667,98,40,61,45,66,5.7,90,11,48,7,45,1.667,23,3.462,96,5,100,4.333,92,3.333,64,2,65,40,81
Midwest,Female,18-29,Postgraduate,White,Yes,Married,Roman Catholic,Once or twice a month,Republican,"$100,000 or more",Very conservative,More than 4,Full-time employment,3,57,4.444,78,4,53,4.2,74,1.5,15,3.056,32,8.083,98,7.417,65,3.25,41,3.8,44,4.333,81,1,38,0,26,7,64,9,82,17,56,18,82,5,72,40,65,100,100,75,70,6,58,8,100,7,52,4.5,67,4.5,83,4.5,98,4.5,84,5,57,8,100,4,100,0.771,15,22.469,58,0.325,97,-0.108,16,None,None,40,61,35,32,5.7,90,18,86,4,32,4.417,98,3.692,99,2.333,14,4,79,3.667,81,3,96,40,81
South,Female,65+,College graduate/some postgrad,White,Yes,Divorced,Protestant,Once or twice a month,Independent,"Less than $30,000",Moderate,1,Part-time employment,3.375,71,4.111,62,4.778,87,4.6,92,1.375,11,4.5,92,3.167,7,6.917,48,4.583,94,4.75,96,5,100,3,88,4,100,9,100,7,61,23,90,17,78,5,72,60,93,83.333,70,75,70,3,31,8,100,0,12,5,100,4,60,2.5,45,2.25,7,6,91,7,80,4,100,0.776,17,500585745.827,93,0.111,83,0.578,94,None,None,40,61,46,69,4.6,35,10,39,4,32,1.417,16,2.385,22,4.25,69,3.267,34,1.5,1,3,96,40,81
South,Female,18-29,High school graduate,White,Yes,Never been married,Other,A few times a year,Republican,"Less than $30,000",Very conservative,2,Unemployed,3.25,67,2.889,9,2.667,7,3.5,36,3.375,74,3.111,35,4.833,52,6.667,39,4.25,86,3.25,15,4.167,74,1,38,0,26,1,4,5,32,7,2,13,56,0,41,60,93,100,100,75,70,2,23,8,100,20,86,4.75,82,4,60,3,65,4,64,4,31,5,47,3,15,0.814,42,0,40,0.067,73,-0.067,19,None,None,40,61,56,90,5.5,84,22,99,30,94,3.333,83,2.462,27,2.25,11,3.533,50,3.833,87,3,96,60,97
Northeast,Male,30-49,College graduate/some postgrad,White,Yes,Never been married,Roman Catholic,Seldom,Independent,"Less than $30,000",Moderate,2,Unemployed,3.25,67,4.778,92,3.889,47,2.9,12,2.875,60,1.944,6,5.333,65,7.917,82,3.333,45,4,58,2.833,26,3,88,0,26,4,27,6,49,13,29,16,73,2,49,60,93,83.333,70,75,70,10,88,7,53,11,67,4.25,52,4.75,91,2.25,35,4.5,84,4,31,5,47,4,100,0.755,10,0,40,-0.042,11,0,36,None,None,40,61,45,66,5,60,10,39,3,27,1,4,2.231,14,4,61,3.867,71,3.833,87,3,96,40,81
West,Female,50-64,College graduate/some postgrad,Black,Yes,Never been married,Other,Never,Democrat,"$50,000-$75,000",Very liberal,2,Retired,2.5,37,4.111,62,4.333,67,4.1,69,2.875,60,4.667,96,5.75,74,7.167,56,2.917,26,3.8,44,3.833,59,2,59,1,55,9,100,9,82,21,80,12,50,8,83,40,65,100,100,50,32,5,48,8,100,8,56,5,100,3.25,22,2.75,55,1.75,3,5,57,4,33,4,100,0.839,67,121.897,65,0.029,61,0,36,None,None,40,61,33,29,5.444,81,9,29,12,64,1.25,11,2.154,10,3.5,45,1.933,2,3.5,73,2,65,40,81
West,Female,50-64,College graduate/some postgrad,Other,Yes,Never been married,Jewish,Seldom,Republican,"$30,000-$50,000",Conservative,1,Full-time employment,4,90,3.889,49,4.333,67,4.7,95,2.375,42,4.278,86,7.75,96,7.167,56,4.667,95,3.7,38,1.667,7,1,38,3,88,8,82,8,71,20,74,14,62,-6,13,0,6,66.667,33,50,32,4,39,8,100,16,79,5,100,4,60,4.25,97,4.25,74,7,100,5,47,4,100,0.815,43,359.227,67,0.11,82,-0.156,11,None,None,0,13,33,29,5.9,95,14,67,28,92,4.833,100,3,70,2.667,22,4.4,93,4.833,100,3,96,0,11
Northeast,Male,50-64,"Some college, no degree",White,Yes,Divorced,Atheist,Never,Independent,"Less than $30,000",Moderate,1,Part-time employment,3.375,71,4.444,78,4.556,77,4.6,92,2.75,56,3.833,69,4.667,47,7.083,54,3.917,72,3.8,44,3.5,46,3,88,4,100,7,64,5,32,19,69,11,43,6,76,60,93,100,100,100,100,10,88,8,100,1,19,3.75,25,4,60,1.75,17,3.25,29,4,31,7,80,4,100,0.845,72,-0.971,1,0.237,94,0.122,58,None,None,60,77,59,92,4.7,41,8,18,4,32,2.75,64,2.846,58,3.917,58,3.6,54,3.167,55,2,65,60,97
West,Female,50-64,College graduate/some postgrad,Asian,Yes,Married,Agnostic,Seldom,Independent,"$30,000-$50,000",Liberal,2,Retired,4.125,92,5,100,4.333,67,3.9,59,2.625,51,3.444,50,6.167,81,8.75,97,3.833,68,3.8,44,4.5,86,2,59,2,71,3,17,5,32,12,23,15,67,-3,26,0,6,83.333,70,75,70,13,100,8,100,21,87,4.75,82,4.75,91,3.25,73,4.25,74,5,57,2,11,4,100,0.687,2,478232442.307,93,-0.039,11,0.294,79,1.081,72,40,61,61,93,5.4,81,12,57,14,69,3.083,75,2.538,33,4.167,66,3.467,46,4.167,95,3,96,40,81
South,Female,50-64,College graduate/some postgrad,Black,Yes,Married,Protestant,Once a week,Independent,"Less than $30,000",Conservative,2,Self-employed,1.875,18,4,56,4.556,77,3.3,26,2.25,37,1.444,2,4.417,40,7.75,77,3.833,68,3.8,44,3.833,59,0,12,0,26,6,49,6,49,12,23,8,27,-14,3,40,65,100,100,75,70,8,74,6,36,12,70,4.75,82,3,14,1.75,17,3.5,40,5,57,4,33,4,100,0.71,4,3002399751580330,99,0,52,0.611,100,None,None,40,61,45,66,4,9,10,39,8,49,1.833,28,1.846,3,4.333,72,4.333,92,2.667,26,2,65,40,81
West,Male,65+,College graduate/some postgrad,White,Yes,Married,Atheist,Never,Democrat,"$30,000-$50,000",Liberal,2,Full-time employment,4,90,4.556,84,4.778,87,4.2,74,1.25,9,4.389,89,4.5,42,7.833,80,3.667,60,4.55,88,4.833,93,4,100,1,55,9,100,7,61,21,80,12,50,3,55,40,65,83.333,70,75,70,1,18,8,100,14,75,3.5,17,2.75,8,2.25,35,3.5,40,6,91,7,80,4,100,0.81,38,0,40,0,52,0.05,44,0.989,66,60,77,55,89,4.6,35,5,2,1,15,2.333,47,3,70,4.25,69,3.667,59,1.833,2,3,96,40,81
South,Male,18-29,High school graduate,White,Yes,Never been married,Other,A few times a year,Republican,"$30,000-$50,000",Conservative,3,Part-time employment,2.75,47,4.889,95,4.889,92,3.7,46,2.75,56,3.889,72,5.75,74,8.833,98,3,30,4.45,84,4,68,4,100,1,55,6,49,11,100,22,85,4,14,1,43,40,65,100,100,25,9,0,13,8,100,3,32,4.75,82,4,60,3,65,4.5,84,4,31,8,100,4,100,0.85,77,None,None,None,None,None,None,None,None,60,77,40,42,5,60,7,10,3,27,2.667,61,2.692,46,3.333,40,4,79,3.333,64,2,65,40,81
South,Female,30-49,College graduate/some postgrad,Hispanic,Yes,Married,Nothing in particular,Never,Republican,"$100,000 or more",Moderate,4,Full-time employment,1.25,5,4.556,84,4.778,87,1.6,1,2.75,56,1,0,4.917,54,6.333,29,3,30,3.75,41,1,2,1,38,1,55,7,64,6,49,15,42,10,38,-10,8,40,65,100,100,100,100,3,31,8,100,11,67,4,40,3.75,45,2.5,45,4,64,5,57,7,80,4,100,0.742,7,0,40,0,52,0.067,50,None,None,100,100,45,66,4.4,24,10,39,19,81,1.167,8,2.077,8,2.333,14,3.533,50,3.167,55,2,65,40,81
Midwest,Male,50-64,College graduate/some postgrad,Black,Yes,Never been married,Buddhist,Seldom,Democrat,"Less than $30,000",Liberal,1,Self-employed,4.5,96,4.222,68,4.222,62,4.3,78,2.875,60,3.889,72,4.25,34,6.083,22,3.417,48,3.75,41,3,31,2,59,2,71,6,49,7,61,17,56,21,91,3,55,60,93,83.333,70,50,32,6,58,8,100,22,89,4.25,52,4.25,72,3.25,73,3.25,29,5,57,7,80,4,100,0.768,14,0,40,0,52,-0.006,28,1.21,81,40,61,32,24,5.8,93,10,39,9,54,3.25,81,3.077,76,3.417,42,3.867,71,3.333,64,2,65,20,18
Midwest,Female,65+,High school graduate,White,Yes,Divorced,Other,More than once a week,Republican,"$30,000-$50,000",Conservative,2,Full-time employment,3,57,3.889,49,4.222,62,2.8,10,1.875,25,1.722,4,4.583,44,6.917,48,3.5,52,4,58,3.333,40,3,88,2,71,7,64,5,32,17,56,3,11,-15,3,40,65,83.333,70,75,70,5,48,5,26,6,47,4.75,82,4.5,83,4,93,4.75,93,3,15,3,20,4,100,0.783,21,0,40,0,52,0,36,None,None,20,25,46,69,5.6,87,7,10,13,67,3.167,78,2.923,64,3.75,53,4.267,89,3.333,64,2,65,40,81
South,Male,65+,Associate's degree,White,Yes,Married,Atheist,Never,Democrat,"$50,000-$75,000",Liberal,3,Retired,1.25,5,3,11,3.111,17,2.7,8,2.25,37,2.833,24,3.333,10,5.917,18,3.333,45,2.8,4,2.5,20,1,38,0,26,7,64,11,100,19,69,9,31,2,49,60,93,100,100,100,100,1,18,6,36,2,25,4.5,67,2.75,8,2.25,35,3.5,40,6,91,8,100,4,100,0.835,63,5.05,53,-0.008,19,0.1,54,0.924,61,100,100,36,35,3.7,3,12,57,0,9,1.417,16,2.231,14,4.167,66,4.067,82,3.167,55,2,65,60,97
South,Female,18-29,Associate's degree,Black,Yes,Never been married,Agnostic,Never,Democrat,"$30,000-$50,000",Very liberal,3,Student,1.375,7,3.222,18,2.667,7,2.9,12,3.125,68,2.889,25,3.75,19,5,5,2,5,3.95,55,2.5,20,2,59,3,88,5,37,7,61,17,56,13,56,-2,29,20,10,66.667,33,75,70,1,18,0,2,12,70,4.75,82,2.75,8,2.25,35,3,22,6,91,8,100,4,100,0.783,21,22.469,58,0.45,99,0,36,0.877,48,40,61,0,7,3.6,2,21,97,37,98,2.75,64,2.538,33,2.917,28,3.4,42,3.167,55,3,96,0,11
Northeast,Male,18-29,"Some college, no degree",Hispanic,Yes,Never been married,Agnostic,Never,Democrat,"$100,000 or more",Liberal,4,Student,3,57,3.444,27,5,100,4.4,83,1,4,3.5,53,7.083,92,5.25,7,3.833,68,3.2,13,1,2,3,88,0,26,5,37,11,100,19,69,11,43,18,98,60,93,83.333,70,50,32,4,39,8,100,0,12,5,100,5,100,4.5,98,3,22,4,31,7,80,4,100,0.839,66,712.822,73,-0.008,19,0.133,60,0.635,28,100,100,0,7,5.3,76,12,57,2,21,3.75,92,3.154,82,4.333,72,2.333,5,3,45,3,96,60,97
West,Female,30-49,College graduate/some postgrad,White,Yes,Married,Roman Catholic,Never,Democrat,"$100,000 or more",Liberal,3,Home-maker,3.75,83,4.222,68,4.333,67,3.8,53,3,64,3.111,35,4.833,52,7.75,77,2.667,19,4.55,88,3.833,59,3,88,4,100,8,82,11,100,26,99,9,31,5,72,40,65,100,100,100,100,8,74,8,100,12,70,3,7,4,60,2.75,55,3.75,50,5,57,6,61,4,100,0.836,64,4823.011,83,-0.164,2,0,36,None,None,100,100,62,94,5.3,76,13,62,3,27,1.083,6,3.077,76,4.417,76,3.6,54,3.167,55,1,7,60,97
Midwest,Female,30-49,"Some college, no degree",White,Yes,Living with a partner,Agnostic,Never,Democrat,"$50,000-$75,000",Very liberal,3,Full-time employment,4,90,3.444,27,3.333,24,3.1,18,3.625,79,2.833,24,5.417,67,7.333,62,3.333,45,3.8,44,2.667,22,4,100,4,100,4,27,5,32,17,56,15,67,2,49,40,65,66.667,33,75,70,4,39,5,26,13,73,4.25,52,3.75,45,1.75,17,4.25,74,5,57,7,80,4,100,0.837,65,4717.879,80,0,52,-0.111,15,0.39,12,60,77,35,32,4.6,35,18,86,10,57,1.5,18,2.692,46,3.5,45,2.733,12,3.167,55,2,65,40,81
South,Male,30-49,High school graduate,Hispanic,Yes,Widowed,Other,Once a week,Republican,"$100,000 or more",Conservative,2,Self-employed,2.75,47,3.333,22,2.556,5,3,15,2.875,60,2.778,22,4.75,49,4.75,4,3,30,2.85,5,3.667,52,1,38,1,55,1,4,6,49,9,8,29,99,8,83,60,93,83.333,70,25,9,8,74,7,53,16,79,3.25,11,3,14,1.5,11,3.25,29,6,91,5,47,4,100,0.861,85,369.049,68,0.053,69,0.611,100,None,None,40,61,60,93,3.9,7,14,67,14,69,2.583,57,2.154,10,3.167,36,3.267,34,3,45,2,65,60,97
West,Male,50-64,"Some college, no degree",White,Yes,Never been married,Nothing in particular,Never,Independent,"$50,000-$75,000",Moderate,2,Unemployed,3.125,62,3.556,32,4.111,58,4.3,78,1.625,18,4.278,86,6.083,79,6.417,31,3.333,45,2.8,4,4.5,86,2,59,1,55,9,100,5,32,17,56,16,73,-5,21,60,93,66.667,33,100,100,0,13,8,100,6,47,4.75,82,3.5,32,3.5,81,3.5,40,6,91,5,47,4,100,0.81,38,0,40,0,52,-0.3,4,None,None,60,77,55,89,4.8,47,12,57,11,61,3.917,94,2.692,46,3.583,47,3,21,3,45,1,7,60,97
West,Male,30-49,"Some college, no degree",White,Yes,Never been married,Nothing in particular,Seldom,Democrat,"$30,000-$50,000",Moderate,2,Self-employed,1.375,7,3.222,18,3,15,4,64,3.75,83,2.056,8,3.333,10,3,0,3.5,52,2.4,1,2.167,14,1,38,1,55,4,27,7,61,13,29,7,23,-10,8,40,65,83.333,70,100,100,6,58,6,36,7,52,4,40,2.5,5,3.5,81,3.25,29,5,57,4,33,4,100,0.838,66,455.134,71,0.056,71,0.611,100,0.268,6,40,61,45,66,4.4,24,11,48,7,45,2.333,47,2.692,46,2.167,10,3.8,67,3.833,87,2,65,40,81
South,Male,30-49,High school graduate,Hispanic,Yes,Never been married,Nothing in particular,Never,Democrat,"$50,000-$75,000",Liberal,3,Full-time employment,3.5,75,2.778,7,2.111,2,4.1,69,4,89,3.889,72,5.583,71,4.75,4,3.333,45,4.05,61,1,2,1,38,3,88,2,10,5,32,11,17,19,87,5,72,40,65,66.667,33,50,32,3,31,0,2,23,90,3.25,11,2.75,8,4,93,4.25,74,4,31,4,33,4,100,0.829,57,8263.548,84,0,52,0.05,44,None,None,80,81,40,42,5.1,65,20,94,33,96,1.917,31,2.385,22,1.667,3,4.067,82,3,45,3,96,40,81
Northeast,Female,18-29,"Some college, no degree",White,Yes,Living with a partner,Agnostic,Never,Democrat,"$30,000-$50,000",Liberal,2,Full-time employment,2.25,30,3.889,49,3.778,41,4.1,69,4,89,3,30,5.833,76,8.083,86,2.833,23,4.25,73,4.833,93,2,59,2,71,2,10,5,32,11,17,16,73,2,49,20,10,66.667,33,50,32,0,13,7,53,18,83,4,40,3.5,32,3.25,73,3,22,1,2,6,61,4,100,0.851,78,None,None,None,None,None,None,None,None,20,25,11,8,4.5,29,10,39,23,87,2.917,69,2.538,33,2.5,17,3.867,71,3.833,87,2,65,80,98
Midwest,Male,18-29,High school graduate,White,Yes,Never been married,Atheist,Never,Democrat,"$75,000-$100,000",Liberal,4,Unemployed,2.25,30,2,1,2.778,9,3,15,3.75,83,2.222,10,4.75,49,5.917,18,3.75,64,2.9,6,3.667,52,1,38,2,71,4,27,5,32,12,23,8,27,-5,21,40,65,100,100,50,32,2,23,1,4,23,90,3.25,11,3.25,22,2,25,3,22,5,57,6,61,4,100,0.712,4,0.31,42,0.271,95,-0.333,3,None,None,100,100,19,11,4.6,35,15,71,23,87,1,4,2.154,10,2.75,24,3.2,30,2.667,26,3,96,0,11
Northeast,Female,50-64,College graduate/some postgrad,Other,Yes,Living with a partner,Atheist,Never,Something else,"$30,000-$50,000",Very liberal,2,Full-time employment,1,1,1.444,0,3.111,17,3.5,36,5,100,1.889,5,2.833,3,5.917,18,3.25,41,3.55,29,1.5,5,1,38,1,55,9,100,6,49,17,56,16,73,3,55,0,6,100,100,50,32,0,13,7,53,17,81,4.25,52,1.25,0,1,3,2.5,11,6,91,7,80,4,100,0.835,63,0,40,0,52,0.556,94,None,None,0,13,0,7,3.9,7,8,18,48,100,3.667,91,1.923,4,4.833,91,3.667,59,2.167,7,1,7,0,11
Northeast,Male,30-49,High school graduate,White,Yes,Never been married,Nothing in particular,Never,Independent,"Less than $30,000",Moderate,More than 4,Part-time employment,2.875,52,3.444,27,3.556,32,3.8,53,3.875,86,2.444,14,5.417,67,7.833,80,3.417,48,3.45,23,3.667,52,2,59,0,26,3,17,4,11,9,8,6,19,0,41,100,100,100,100,100,100,0,13,4,19,22,89,4.25,52,3.25,22,2.25,35,3.75,50,2,5,2,11,4,100,0.886,96,None,None,None,None,None,None,None,None,80,81,42,46,4.6,35,12,57,35,97,3,72,2.846,58,3.333,40,4.533,96,2.833,34,2,65,0,11
South,Male,30-49,College graduate/some postgrad,White,Yes,Never been married,Agnostic,Never,Republican,"$30,000-$50,000",Conservative,1,Full-time employment,1.25,5,3.222,18,3.889,47,3.4,31,2,29,3.667,61,4.417,40,4.833,4,4.667,95,3.85,48,2.167,14,4,100,3,88,9,100,7,61,23,90,2,9,2,49,40,65,66.667,33,75,70,7,66,8,100,1,19,5,100,3,14,4.25,97,3.5,40,6,91,7,80,4,100,0.864,87,0,40,0,52,0.289,78,0.439,16,0,13,27,15,5.2,71,7,10,16,74,1.417,16,2.923,64,4.917,93,3.533,50,3.5,73,2,65,0,11
South,Female,18-29,College graduate/some postgrad,White,Yes,Never been married,Agnostic,Never,Democrat,"$100,000 or more",Very liberal,3,Unemployed,2.375,33,2.889,9,3.556,32,4.4,83,4.5,97,3.444,50,5,57,6.667,39,2.417,12,3.9,51,3,31,3,88,4,100,8,82,10,92,25,97,5,16,15,96,60,93,83.333,70,75,70,4,39,8,100,17,81,3.5,17,3,14,2.5,45,3,22,6,91,5,47,4,100,0.755,10,0,40,0,52,0.389,85,None,None,100,100,48,73,5.3,76,11,48,26,90,1.917,31,2.231,14,3.083,33,3.733,63,3.667,81,2,65,60,97
South,Female,65+,"Some college, no degree",White,Yes,Divorced,Other,Never,Democrat,"Less than $30,000",Very liberal,1,Retired,2.625,42,4.778,92,4.556,77,3.2,22,1.375,11,2.778,22,2.75,2,7.917,82,3.917,72,4.15,67,4.667,90,3,88,1,55,8,82,10,92,22,85,8,27,-5,21,60,93,100,100,75,70,5,48,7,53,19,84,4.75,82,4.25,72,1.25,6,3.5,40,5,57,5,47,4,100,0.836,64,0,40,0,52,0.611,100,None,None,40,61,45,66,4.1,11,7,10,9,54,1.667,23,2.385,22,4.833,91,3.267,34,2,5,2,65,40,81
Northeast,Male,18-29,"Some college, no degree",White,Yes,Never been married,Nothing in particular,Never,Independent,"$75,000-$100,000",Liberal,4,Full-time employment,2.5,37,3.222,18,4.333,67,3.5,36,1.125,7,3.222,41,4.833,52,5.583,12,3,30,3.1,11,1.833,9,3,88,1,55,5,37,6,49,15,42,13,56,8,83,60,93,66.667,33,75,70,5,48,6,36,2,25,4,40,3,14,2.75,55,2,5,7,100,8,100,4,100,0.854,80,0.932,44,0.097,80,-0.061,20,1.164,78,100,100,41,43,4.3,19,12,57,0,9,1.583,20,2.538,33,4.25,69,1.933,2,3.167,55,2,65,60,97
West,Female,30-49,Associate's degree,White,Yes,Never been married,Agnostic,Never,Democrat,"$100,000 or more",Liberal,4,Self-employed,1.25,5,4.444,78,4.444,72,4.4,83,1.875,25,4.278,86,3.833,21,6.333,29,3.5,52,4.15,67,3.5,46,4,100,4,100,5,37,10,92,23,90,10,38,12,93,40,65,83.333,70,100,100,7,66,8,100,5,42,4.75,82,3.5,32,2.25,35,3.75,50,5,57,8,100,4,100,0.78,19,4.826,52,-0.033,12,0.089,52,1.246,82,100,100,29,19,3.9,7,12,57,11,61,1.167,8,2.462,27,4.417,76,3.467,46,3,45,3,96,40,81
Midwest,Female,50-64,College graduate/some postgrad,White,Yes,Divorced,Nothing in particular,Never,Something else,"Less than $30,000",Moderate,1,Unemployed,3.125,62,3.778,44,4.667,82,4.6,92,2.5,47,4.222,84,3.333,10,6.5,34,3.667,60,4.2,70,5,100,1,38,1,55,8,82,8,71,18,63,12,50,0,41,60,93,100,100,75,70,4,39,8,100,11,67,5,100,3.5,32,2,25,1,0,4,31,3,20,4,100,0.859,83,346.58,66,0.049,68,0.233,72,0.268,6,40,61,48,73,5.5,84,11,48,3,27,2.833,66,2.692,46,4.583,83,4.133,85,2.667,26,3,96,40,81
Midwest,Female,50-64,"Some college, no degree",Hispanic,Yes,Married,Nothing in particular,Never,Democrat,"$75,000-$100,000",Liberal,4,Full-time employment,2.5,37,4,56,4.111,58,3.5,36,1.375,11,2.556,17,3.75,19,7.333,62,2.583,16,4.2,70,4.167,74,1,38,3,88,8,82,6,49,18,63,7,23,-5,21,40,65,100,100,25,9,9,81,4,19,0,12,3.5,17,4.25,72,1.5,11,4.5,84,5,57,3,20,4,100,0.778,18,0,40,0,52,0.2,68,None,None,20,25,33,29,4.2,15,8,18,4,32,1.75,25,1.846,3,4.583,83,3.4,42,3.333,64,2,65,40,81
Midwest,Male,50-64,College graduate/some postgrad,White,Yes,Living with a partner,Orthodox,A few times a year,Independent,"$30,000-$50,000",Moderate,2,Full-time employment,3.75,83,4.556,84,5,100,4.7,95,1.25,9,4.389,89,3.5,13,6.917,48,3.917,72,3.8,44,4.167,74,3,88,3,88,8,82,6,49,20,74,10,38,5,72,40,65,83.333,70,75,70,0,13,7,53,0,12,5,100,4,60,3,65,4.25,74,3,15,7,80,4,100,0.821,49,None,None,None,None,None,None,None,None,100,100,55,89,4.4,24,8,18,0,9,2.25,43,3.385,93,4.917,93,2.933,18,3.5,73,3,96,40,81
Northeast,Female,30-49,Postgraduate,White,Yes,Married,Agnostic,Never,Democrat,"$100,000 or more",Liberal,2,Part-time employment,3.25,67,3.778,44,4.222,62,4.3,78,2.875,60,3.444,50,5.333,65,7.75,77,2.833,23,4.65,92,4,68,0,12,1,55,7,64,6,49,14,35,21,91,20,99,40,65,50,10,100,100,5,48,6,36,10,64,4.25,52,4,60,3.25,73,2.75,15,5,57,2,11,4,100,0.805,34,0.31,42,0.074,74,-0.033,24,None,None,40,61,61,93,5.4,81,17,80,16,74,2.75,64,3.538,97,3.167,36,4,79,3.167,55,2,65,40,81
Midwest,Male,30-49,"Some college, no degree",White,Yes,Never been married,Buddhist,Never,Something else,"$50,000-$75,000",Very liberal,4,Self-employed,1.25,5,4.778,92,3.556,32,4.5,87,2.625,51,4.556,93,3,5,7.25,59,1.667,2,4.75,96,4.5,86,3,88,2,71,9,100,11,100,25,97,11,43,8,83,60,93,66.667,33,100,100,0,13,7,53,9,60,2.75,4,2.5,5,1.25,6,2.25,7,4,31,8,100,4,100,0.831,59,None,None,None,None,None,None,None,None,60,77,50,75,4.6,35,10,39,9,54,1.833,28,2.538,33,4.833,91,2.533,8,2.667,26,3,96,60,97
West,Male,50-64,High school graduate,White,Yes,Married,Atheist,Never,Democrat,"Less than $30,000",Very liberal,2,Self-employed,2.875,52,4.778,92,5,100,3.8,53,1.125,7,4.722,96,4.917,54,6.833,45,3.5,52,3.55,29,1.333,4,2,59,3,88,7,64,8,71,20,74,5,16,0,41,40,65,100,100,75,70,10,88,8,100,1,19,5,100,3.5,32,3,65,3.25,29,5,57,8,100,3,15,0.787,23,0,40,0,52,0.006,36,1.99,93,100,100,52,77,4.1,11,8,18,10,57,1.333,13,1.923,4,4.5,79,2.267,5,2.833,34,1,7,40,81
South,Male,65+,Postgraduate,White,Yes,Married,Protestant,Once a week,Republican,"$100,000 or more",Conservative,2,Self-employed,2.625,42,3.556,32,3.778,41,3.8,53,1,4,3.5,53,3.417,11,7.25,59,4.75,97,3.6,32,3.833,59,1,38,1,55,7,64,5,32,14,35,6,19,-5,21,60,93,50,10,75,70,3,31,5,26,1,19,4,40,4,60,1.75,17,3.25,29,6,91,2,11,4,100,0.679,2,0,40,0,52,0.389,85,None,None,60,77,45,66,5,60,7,10,10,57,1.583,20,2.615,39,3.917,58,3.333,37,2.333,12,3,96,40,81
Northeast,Male,50-64,"Some college, no degree",White,Yes,Divorced,Protestant,A few times a year,Democrat,"$30,000-$50,000",Moderate,1,Retired,3.5,75,5,100,5,100,3.8,53,1.25,9,3,30,3,5,8.667,96,3.167,37,3.6,32,5,100,0,12,1,55,3,17,5,32,9,8,6,19,0,41,0,6,66.667,33,25,9,10,88,7,53,2,25,4.5,67,5,100,1,3,4,64,6,91,4,33,0,0,0.582,0,4.429,48,-0.016,16,0.667,100,None,None,0,13,0,7,4.3,19,19,90,0,9,1.667,23,1.615,1,4.333,72,3.4,42,1.667,2,1,7,0,11
Northeast,Female,50-64,Associate's degree,White,Yes,Never been married,Protestant,Never,Democrat,"Less than $30,000",Liberal,1,Retired,4.5,96,4,56,4.778,87,3.5,36,4,89,4,77,3,5,7.5,68,3.5,52,4.65,92,2.667,22,1,38,0,26,6,49,4,11,11,17,4,14,-5,21,40,65,33.333,4,50,32,8,74,8,100,7,52,4.75,82,5,100,2.25,35,4.75,93,3,15,3,20,3,15,0.885,96,0,40,0,52,0.075,50,None,None,20,25,47,70,4.6,35,22,99,16,74,1,4,2.538,33,4.667,86,4,79,2.833,34,3,96,0,11
South,Female,50-64,"Some college, no degree",White,Yes,Divorced,Nothing in particular,Never,Democrat,"Less than $30,000",Moderate,1,Home-maker,2,22,4.556,84,3.444,28,2.7,8,4.25,94,3.056,32,3.583,15,7.583,71,4.167,82,3.9,51,4.333,81,1,38,2,71,5,37,5,32,13,29,17,78,-7,11,100,100,50,10,50,32,7,66,8,100,16,79,4.5,67,4.25,72,1.75,17,2,5,4,31,1,4,4,100,0.86,85,109.957,64,0.117,83,-0.178,10,None,None,60,77,55,89,5.9,95,22,99,27,91,1.417,16,1.846,3,2.667,22,4.333,92,3.667,81,2,65,60,97
South,Male,18-29,"Some college, no degree",White,Yes,Never been married,Atheist,Never,Democrat,"Less than $30,000",Liberal,2,Unemployed,1,1,3,11,2.111,2,3.1,18,4.625,98,2.111,9,3.167,7,6.333,29,4.917,99,4.2,70,3.667,52,3,88,3,88,6,49,9,82,21,80,6,19,-3,26,60,93,83.333,70,50,32,1,18,1,4,17,81,3.5,17,2.75,8,3.5,81,3.5,40,6,91,7,80,4,100,0.759,11,0,40,0,52,-0.067,19,None,None,60,77,55,89,4.7,41,4,1,41,99,1.25,11,3.308,91,1.833,4,4.267,89,4,92,2,65,60,97
